id,hanzi,pinyin,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9
1,爱,ài,"to love","affection","to be fond of","to like","","","","","",""
2,八,bā,"eight","8","","","","","","","",""
3,爸爸,bà ba,"(informal) father","CL:個|个","位[wèi]","","","","","","",""
4,杯子,bēi zi,"cup","glass","CL:個|个","支","枝[zhī]","","","","",""
5,北京,Běi jīng,"Beijing","capital of People's Republic of China","Peking","PRC government","","","","","",""
6,本,běn,"roots or stems of plants","origin","source","this","the current","root","foundation","basis","classifier for books",""
7,不客气,bù kè qi,"you're welcome","impolite","rude","blunt","don't mention it","","","","",""
8,不,bù,"(negative prefix)","not","no","","","","","","",""
9,菜,cài,"dish (type of food)","vegetables","vegetable","cuisine","CL:盤|盘","道[dào]","","","",""
10,茶,chá,"tea","tea plant","CL:杯","壺|壶[hú]","","","","","",""
11,吃,chī,"to eat","to consume","to eat at (a cafeteria etc)","to eradicate","to destroy","to absorb","to suffer","","",""
12,出租车,chū zū chē,"taxi","(Taiwan) rental car","","","","","","","",""
13,打电话,dǎ diàn huà,"to make a telephone call","","","","","","","","",""
14,大,dà,"big","huge","large","major","great","wide","deep","oldest","eldest",""
15,的,de,"of","~'s (possessive particle)","(used after an attribute)","(used to form a nominal expression)","(used at the end of a declarative sentence for emphasis)","","","","",""
16,点,diǎn,"point","dot","drop","speck","o'clock","point (in space or time)","to draw a dot","to check on a list","to choose",""
17,电脑,diàn nǎo,"computer","CL:臺|台[tái]","","","","","","","",""
18,电视,diàn shì,"television","TV","CL:臺|台","個|个[gè]","","","","","",""
19,电影,diàn yǐng,"movie","film","CL:部","片","幕","場|场[chǎng]","","","",""
20,东西,dōng xi,"thing","stuff","person","CL:個|个","件[jiàn]","","","","",""
21,都,dōu,"all","both","entirely","(used for emphasis) even","already","(not) at all","","","",""
22,读,dú,"to read","to study","reading of word (i.e. pronunciation)","similar to 拼音[pīn yīn]","","","","","",""
23,对不起,duì bu qǐ,"unworthy","to let down","I'm sorry","excuse me","pardon me","if you please","sorry? (please repeat)","","",""
24,多,duō,"many","much","a lot of","numerous","more","in excess","how (to what extent)","multi-","Taiwan pr.  when it means \"how\"",""
25,多少,duō shao,"how much","how many","which (number)","as much as","","","","","",""
26,儿子,ér zi,"son","","","","","","","","",""
27,二,èr,"two","2","stupid (Beijing dialect)","","","","","","",""
28,饭馆,fàn guǎn,"restaurant","CL:家[jiā]","","","","","","","",""
29,飞机,fēi jī,"airplane","CL:架[jià]","","","","","","","",""
30,分钟,fēn zhōng,"minute","","","","","","","","",""
31,高兴,gāo xìng,"happy","glad","willing (to do sth)","in a cheerful mood","","","","","",""
32,个,gè,"variant of 個|个[gè]","","","","","","","","",""
33,工作,gōng zuò,"to work","(of a machine) to operate","job","work","task","CL:個|个","份","項|项[xiàng]","",""
34,狗,gǒu,"dog","CL:隻|只","條|条[tiáo]","","","","","","",""
35,汉语,Hàn yǔ,"Chinese language","CL:門|门[mén]","","","","","","","",""
36,好,hǎo,"good","well","proper","good to","easy to","very","so","(suffix indicating completion or readiness)","",""
37,喝,hē,"to drink","My goodness!","","","","","","","",""
38,和,hé,"and","together with","with","sum","union","peace","harmony","Japanese related","Taiwan pr. [hàn]",""
39,很,hěn,"(adverb of degree)","quite","very","awfully","","","","","",""
40,后面,hòu mian,"rear","back","behind","later","afterwards","","","","",""
41,回,huí,"to curve","to return","to revolve","","","","","","",""
